施設  区分,地区,実施施設及び利用案内,住所,電話番号,利用定員,利用  年齢,利用時間 (注)祝日・年末年始を除く
私立の保育施設,小松川,光徳保育園（別ウィンドウで外部サイトへリンク）,平井6丁目53番7号,03-3618-0511,4名,8か月から就学前,月曜から金曜  午前9時から  午後4時
私立の保育施設,中央,光徳保育園（別ウィンドウで外部サイトへリンク）,平井6丁目53番7号,03-3618-0511,4名,8か月から就学前,月曜から金曜  午前9時から  午後4時
私立の保育施設,中央,ゆずりは保育園（別ウィンドウで外部サイトへリンク）,大杉3丁目23番17号,03-6231-5400,2名,1歳から 就学前,月曜から金曜  午前9時から 午後4時
私立の保育施設,小岩,小岩みどり保育園,北小岩5丁目27番16号,03-3671-5983,2名,1歳から 就学前,月曜から金曜 午前9時から 午後4時
私立の保育施設,小岩,ルーテル保育園（別ウィンドウで外部サイトへリンク）,南小岩3丁目6番8号,03-3650-2540,6人,6か月から就学前,月曜から金曜 午前9時から午後4時
私立の保育施設,小岩,富士見保育園（別ウィンドウで外部サイトへリンク）,北小岩2-15-8,03-3657-0515,2名,1歳から就学前,月曜から金曜 午前9時30分から午後4時
私立の保育施設,東部,ルンビニー保育園（別ウィンドウで外部サイトへリンク）,江戸川3丁目8番地,03-3670-0134,2名,1歳から就学前,月曜から金曜  午前9時から午後4時
私立の保育施設,葛西東,アスク東葛西第二保育（別ウィンドウで外部サイトへリンク） 受付フォーム（別ウィンドウで外部サイトへリンク）,東葛西6丁目37番20号,03-5659-0150,4名,1歳2か月から 就学前,月曜から金曜  午前9時から 午後4時
認定こども園,葛西北,葛西めぐみこども園（別ウィンドウで外部サイトへリンク）,北葛西2丁目12番13号,03-6808-7121,6名,1歳から  就学前,月曜から金曜  午前10時から午後3時
認定こども園,葛西東,プレスクール仲よしこども園,中葛西4丁目12番15号,03-5659-0260,3名,4か月から就学前,月曜から金曜  午前7時から午後8時 土曜  午前7時から午後6時
認定こども園,葛西東,プレスクール第2仲よしこども園,中葛西3丁目3番6号,03-3680-8636,9名,4か月から就学前,月曜から金曜  午前7時から午後8時 土曜  午前7時から午後6時
企業主導型保育所,中央,ニコニコ保育園えどがわ,中央1丁目15番24号,03-5879-4513,1名,1歳から 2歳,月曜から金曜 午前10時から 午後4時
企業主導型保育所,葛西北,すくすく保育園船堀園,船堀4丁目7番13号1階,03-5878-0136,1名,6か月から 2歳,月曜から金曜 午前9時から 午後5時
企業主導型保育所,葛西東,おれんじハウス中葛西保育園（別ウィンドウで外部サイトへリンク）,中葛西6丁目17番9号1階,03-5878-0501,6名,4か月  から 就学前,月曜・木曜  (0歳児) 火曜・金曜  (1～5歳児) 午前9時から 午後0時30分
企業主導型保育所,葛西東,仲よし駅前保育園（別ウィンドウで外部サイトへリンク）,中葛西3丁目35番1号2階,03-3680-8497,3名,4か月 から 2歳,月曜から土曜  午前7時から 午後8時 (注)土曜は午後6時まで
子育て  ひろば,小松川,共育プラザ平井（別ウィンドウで外部サイトへリンク）,平井7丁目21番6号,03-3618-4031,2名,1歳から 就学前,月曜から金曜  午前9時から12時  午後1時から5時 (注)1回3時間以内
子育て  ひろば,中央,共育プラザ中央（別ウィンドウで外部サイトへリンク）,松島1丁目38番1号,03-5662-7661,2名,1歳から 3歳11カ月,月曜から金曜  午前9時から12時 午後1時から4時 (注)1回2時間以内
子育て  ひろば,中央,共育プラザ一之江（別ウィンドウで外部サイトへリンク）,一之江3丁目13番7号,03-3562-5911,3名,1歳から就学前,月曜から金曜 午前9時から午後4時 (注)1回3時間以内
子育て  ひろば,小岩,共育プラザ小岩（別ウィンドウで外部サイトへリンク）,北小岩2丁目14番17号,03-3672-0604,3名,1歳から就学前,月曜から金曜 午前9時から午後4時 (注)1回3時間以内
子育て  ひろば,小岩,共育プラザ南小岩（別ウィンドウで外部サイトへリンク）,南小岩4丁目5番8号,03-3673-2206,2名,1歳から 3歳,月曜から金曜 午前9時から12時 午後1時から5時 (注)1回3時間以内
子育て  ひろば,東部,共育プラザ南篠崎（別ウィンドウで外部サイトへリンク）,南篠崎3丁目12番8号,03-3678-8241,2名,1歳から 就学前,月曜から金曜  午前9時から午後4時 (注)1回3時間以内
子育て  ひろば,葛西北,共育プラザ葛西（別ウィンドウで外部サイトへリンク）,宇喜田町175番地,03-3688-8611,4名,1歳から 就学前,月曜から金曜  午前9時から12時  午後1時から4時  (注)1回2時間以内
